Date,IBGE6,TotalVaccinations,PeopleVaccinated,PeopleFullyVaccinated
2022-06-08,421568,6826,2589,2528
2022-06-08,421775,6436,2516,2414
2022-06-08,421885,6741,2725,2518
2022-06-08,430003,10978,4747,4104
2022-06-08,430047,4846,1935,1760
2022-06-08,430107,6882,2677,2593
2022-06-08,430155,9301,3459,3375
2022-06-08,430175,14141,5511,5173
2022-06-08,430245,15306,6214,5866
2022-06-08,430258,5919,2201,2095
2022-06-08,430430,14948,6025,5554
2022-06-08,430512,14628,5678,5333
2022-06-08,430540,8400,3366,3132
2022-06-08,430600,28862,11451,10593
2022-06-08,430637,7294,2809,2681
2022-06-08,430645,7413,2974,2908
2022-06-08,430670,7757,2958,2806
2022-06-08,430675,5532,1980,1930
2022-06-08,430692,4052,1483,1430
2022-06-08,430740,6898,2862,2690
2022-06-08,430805,5242,2004,1860
2022-06-08,430843,5216,2092,2037
2022-06-08,430845,12113,4451,4282
2022-06-08,430870,14884,5615,5414
2022-06-08,430990,18092,6433,6243
2022-06-08,431030,8923,3367,3236
2022-06-08,431075,6290,2148,2072
2022-06-08,431115,17987,7174,6734
2022-06-08,431127,4744,1736,1684
2022-06-08,431173,6715,2695,2519
2022-06-08,431205,9416,3561,3374
2022-06-08,431213,6993,2612,2483
2022-06-08,431242,5631,2331,2168
2022-06-08,431247,16030,6191,6014
2022-06-08,431262,4995,1842,1748
2022-06-08,431342,7399,2924,2799
2022-06-08,431344,5741,2087,2017
2022-06-08,431413,5480,2142,2083
2022-06-08,431446,5729,2125,2058
2022-06-08,431507,4701,1717,1654
2022-06-08,431520,10056,3815,3695
2022-06-08,431580,24081,9726,9059
2022-06-08,431595,5417,1986,1933
2022-06-08,431643,6704,2529,2435
2022-06-08,431725,4635,1669,1634
2022-06-08,431842,10930,4276,4130
2022-06-08,431848,10136,4046,3894
2022-06-08,431912,6465,2772,2371
2022-06-08,432023,7224,2719,2612
2022-06-08,432032,6236,2475,2355
2022-06-08,432057,5203,1869,1804
2022-06-08,432060,9530,3618,3518
2022-06-08,432067,18445,7485,7081
2022-06-08,432146,6462,2531,2446
2022-06-08,432149,7997,2839,2795
2022-06-08,432183,6893,2535,2423
2022-06-08,432215,9803,3699,3581
2022-06-08,432225,10778,4677,4280
2022-06-08,432232,10102,3883,3705
2022-06-08,432253,22574,8985,8467
2022-06-08,432290,12428,4580,4446
2022-06-08,432310,10033,4053,3831
2022-06-08,432330,9391,3537,3522
2022-06-08,432340,12163,4430,4297
2022-06-08,432360,3946,1499,1446
2022-06-08,500280,9805,4402,4089
2022-06-08,500350,13470,5557,5101
2022-06-08,500525,14211,6065,5148
2022-06-08,500580,21792,8905,8038
2022-06-08,500750,11374,4566,4058
2022-06-08,510035,7116,3426,2884
2022-06-08,510260,25014,11121,9074
2022-06-08,510269,6634,3129,2591
2022-06-08,510380,6552,2651,2392
2022-06-08,510450,5624,2418,2166
2022-06-08,510523,10138,4415,3886
2022-06-08,510677,18385,8435,7038
2022-06-08,510719,6014,2437,2243
2022-06-08,510726,6071,2698,2355
2022-06-08,510740,7075,3320,2757
2022-06-08,510774,3211,1506,1207
2022-06-08,510777,9796,4604,3376
2022-06-08,520020,4756,1797,1681
2022-06-08,520082,8194,3412,3086
2022-06-08,520085,13101,4972,4578
2022-06-08,520090,7831,3215,2862
2022-06-08,520145,5022,2195,1942
2022-06-08,520310,7149,3130,2601
2022-06-08,520420,4140,1623,1464
2022-06-08,520465,7582,3302,2905
2022-06-08,520505,7971,3227,2971
2022-06-08,520710,5713,2207,2113
2022-06-08,520810,10431,4404,4051
2022-06-08,520940,7716,3446,3042
2022-06-08,520993,14134,5663,5222
2022-06-08,521030,6144,2431,2253
2022-06-08,521295,11114,4314,4126
2022-06-08,521410,8731,3947,3447
2022-06-08,521487,5699,2407,2183
2022-06-08,521490,5870,2405,2236
2022-06-08,521580,5802,2361,2160
2022-06-08,521645,7186,3019,2736
2022-06-08,521810,7179,3094,2711
2022-06-08,521935,8281,3434,3006
2022-06-08,522155,8477,4484,3501
2022-06-08,522157,6470,2547,2434
2022-06-09,110006,38225,16887,15014
2022-06-09,110007,14008,6137,5376
2022-06-09,110008,18904,8868,7339
2022-06-09,110009,54262,24822,21553
2022-06-09,110013,56482,25334,23429
2022-06-09,110014,34393,14888,13209
2022-06-09,110026,6035,2764,2304
2022-06-09,110034,25885,11361,10016
2022-06-09,110040,26481,12136,10677
2022-06-09,110050,16638,7330,6356
2022-06-09,110090,6973,3036,2731
2022-06-09,110100,14416,6463,5721
2022-06-09,110110,17751,8084,7026
2022-06-09,110120,15651,7083,6198
2022-06-09,110130,18579,8645,7324
2022-06-09,110140,21175,10060,8277
2022-06-09,110143,11512,5207,4425
2022-06-09,110145,8675,3790,3307
2022-06-09,110146,4835,2106,1801
2022-06-09,110149,25814,12517,9770
2022-06-09,110150,19839,9766,7710
2022-06-09,110180,12667,5695,4979
2022-06-09,120017,13499,6576,5276
2022-06-09,120025,22267,10649,8598
2022-06-09,120032,13399,6323,4712
2022-06-09,120034,14622,7035,5420
2022-06-09,120042,21315,10782,8125
2022-06-09,120045,36226,16755,13539
2022-06-09,120050,69300,32309,26685
2022-06-09,120070,27748,13267,10440
2022-06-09,120080,18661,9266,6874
2022-06-09,130002,27483,12648,10026
2022-06-09,130008,16152,7643,6264
2022-06-09,130014,17685,8169,6764
2022-06-09,130030,70472,32367,26212
2022-06-09,130040,25020,12498,9054
2022-06-09,130050,64824,28090,23522
2022-06-09,130068,30418,13357,11192
2022-06-09,130070,38863,18693,14624
2022-06-09,130080,56219,26083,20908
2022-06-09,130100,54011,24657,21063
2022-06-09,130110,41219,18854,15619
2022-06-09,130130,28730,13569,10646
2022-06-09,130140,44917,22707,16800
2022-06-09,130150,25097,12167,9635
2022-06-09,130165,15757,7883,6141
2022-06-09,130170,89523,40116,33157
2022-06-09,130200,20590,8758,7520
2022-06-09,130210,6376,3431,2345
2022-06-09,130220,14573,7306,5590
2022-06-09,130280,18414,8661,6846
2022-06-09,130290,98444,45856,36078
2022-06-09,130300,42385,17847,15201
2022-06-09,130310,41770,20311,15363
2022-06-09,130320,19781,9830,7593
2022-06-09,130330,26158,12465,9948
2022-06-09,130350,18076,9506,6710
2022-06-09,130356,50198,23024,18526
2022-06-09,130400,20535,8700,7420
2022-06-09,130406,65043,36895,21986
2022-06-09,130430,28885,12737,10746
2022-06-09,130440,31153,13924,11863
2022-06-09,140002,13017,6821,5116
2022-06-09,140015,20387,10488,7981
2022-06-09,140017,18963,9437,7099
2022-06-09,140028,9503,4714,3664
2022-06-09,140030,23448,11658,9001
