IBGE,Municipio,Population,Date,TotalVaccinations,PeopleVaccinated,PeopleFullyVaccinated
2400406,Água Nova,3293,2021-11-12,4575,2610,1918
2402402,Carnaúba dos Dantas,8297,2021-11-12,11329,6241,4839
2403301,Encanto,5697,2021-11-12,8015,4280,3322
2407252,Major Sales,4102,2021-11-12,5649,3090,2387
2408508,Ouro Branco,4813,2021-11-12,7487,3946,3286
2409605,Pedra Preta,2419,2021-11-12,3638,2024,1461
2410504,Rafael Fernandes,5158,2021-11-12,8157,4462,3261
2410603,Rafael Godeiro,3214,2021-11-12,5068,2684,2168
2411429,Santana do Seridó,2699,2021-11-12,4247,2247,1775
2411908,São Francisco do Oeste,4281,2021-11-12,6596,3600,2794
2413201,Senador Georgino Avelino,4527,2021-11-12,6372,3723,2540
2415008,Vila Flor,3217,2021-11-12,3267,2017,1237
2500536,Alcantil,5527,2021-11-12,7925,4549,3155
2500577,Algodão de Jandaíra,2588,2021-11-12,4149,2331,1726
2500734,Amparo,2264,2021-11-12,4190,2357,1672
2500775,Aparecida,8482,2021-11-12,10903,6389,4401
2501153,Areia de Baraúnas,2105,2021-11-12,2663,1501,1110
2502102,Boa Ventura,5248,2021-11-12,8726,4602,3646
2503753,Cajazeirinhas,3217,2021-11-12,4729,2946,1722
2504033,Capim,6715,2021-11-12,6682,3826,2732
2504355,Caturité,4898,2021-11-12,7802,4423,3050
2505303,Curral Velho,2508,2021-11-12,3408,1844,1436
2506251,Gado Bravo,8292,2021-11-12,10841,6739,4064
2508406,Lastro,2698,2021-11-12,4671,2509,1981
2508554,Logradouro,4406,2021-11-12,5628,3120,2274
2509396,Maturéia,6690,2021-11-12,9556,5204,4031
2510303,Nova Palmeira,5011,2021-11-12,6896,3576,2855
2510600,Ouro Velho,3052,2021-11-12,5240,2835,2189
2510659,Parari,1747,2021-11-12,3155,1627,1324
2510709,Passagem,2453,2021-11-12,3227,1747,1332
2512747,Riachão,3650,2021-11-12,4570,2556,1900
2512788,Riacho de Santo Antônio,1999,2021-11-12,2882,1719,1102
2513208,Santa Cruz,6579,2021-11-12,10884,5845,4514
2513802,Santa Teresinha,4550,2021-11-12,8210,4633,3416
2513943,São Domingos do Cariri,2645,2021-11-12,3966,2204,1612
2513968,São Domingos,3119,2021-11-12,4995,2703,2133
2513984,São Francisco,3377,2021-11-12,6691,3549,2804
2514909,São Mamede,7682,2021-11-12,13431,7201,5415
2515930,Sertãozinho,5152,2021-11-12,7095,4035,2773
2517209,Vieirópolis,5395,2021-11-12,6310,3783,2473
2605459,Fernando de Noronha,3140,2021-11-12,4325,2210,1917
2612109,Salgadinho,11214,2021-11-12,8396,4571,3585
2615102,Terezinha,7227,2021-11-12,9765,5190,4359
2700904,Belo Monte,6717,2021-11-12,7862,4580,3086
2705903,Olho d'Água Grande,5133,2021-11-12,5221,3036,2219
2800100,Amparo do São Francisco,2386,2021-11-12,3650,1975,1562
2801405,Carira,22393,2021-11-12,25026,15980,8978
2802502,General Maynard,3421,2021-11-12,4691,2523,1939
2802601,Gracho Cardoso,5831,2021-11-12,8455,4676,3408
2803906,Malhador,12689,2021-11-12,17535,9998,7106
2804300,Muribeca,7653,2021-11-12,12321,7033,5022
2805901,Riachuelo,10354,2021-11-12,11851,6803,4779
2806107,Rosário do Catete,11158,2021-11-12,12678,7385,5062
2806503,Santa Rosa de Lima,3933,2021-11-12,5459,3251,2042
2900603,Aiquara,4387,2021-11-12,6630,3566,2800
2904803,Caatiba,6232,2021-11-12,9512,5301,3898
2906402,Candeal,8109,2021-11-12,12480,7125,5071
2906600,Candiba,14415,2021-11-12,20359,10905,8654
2907004,Cardeal da Silva,9395,2021-11-12,13208,7559,5382
2915908,Itanagra,6433,2021-11-12,9491,5468,3869
2919009,Lajedinho,3735,2021-11-12,5846,3358,2423
2920007,Maiquinique,10294,2021-11-12,5306,3498,1809
2922250,Muquém do São Francisco,11479,2021-11-12,12606,7566,4904
2924678,Piraí do Norte,10050,2021-11-12,7468,4893,2552
2928901,São Desidério,34764,2021-11-12,40690,24187,15842
2933158,Várzea Nova,12556,2021-11-12,16064,9159,6528
2933406,Wagner,9342,2021-11-12,11657,6500,4848
3100302,Abre Campo,13434,2021-11-12,17805,10031,7466
3100401,Acaiaca,3995,2021-11-12,6266,3522,2595
3100906,Águas Formosas,19285,2021-11-12,23569,14805,8840
3101300,Alagoa,2657,2021-11-12,4991,2514,2154
3101409,Albertina,3015,2021-11-12,4649,2615,1891
3101631,Alfredo Vasconcelos,7052,2021-11-12,9111,5196,3887
3101805,Alpercata,7448,2021-11-12,9062,5395,3523
3102209,Alvarenga,3783,2021-11-12,6732,3817,2713
3102308,Alvinópolis,15135,2021-11-12,22580,12131,9534
3102407,Alvorada de Minas,3605,2021-11-12,5831,3592,2200
3102506,Amparo do Serra,4643,2021-11-12,7262,4258,2776
3102852,Angelândia,8594,2021-11-12,8836,5524,3269
3103009,Antônio Dias,9233,2021-11-12,15884,8904,6678
3103108,Antônio Prado de Minas,1577,2021-11-12,2853,1353,1246
3103207,Araçaí,2360,2021-11-12,3786,1954,1668
3103306,Aracitaba,2056,2021-11-12,3883,1953,1731
3103900,Araújos,9523,2021-11-12,13685,7211,5968
3104403,Argirita,2681,2021-11-12,4434,2422,2009
3105004,Baldim,7780,2021-11-12,12031,6552,5057
3105509,Barão de Monte Alto,5311,2021-11-12,9517,5036,3931
3105707,Barra Longa,4905,2021-11-12,9214,4897,4038
3106002,Bela Vista de Minas,10269,2021-11-12,14564,8413,5701
3106655,Berizal,4792,2021-11-12,6851,4143,2469
3107505,Bom Jardim de Minas,6444,2021-11-12,11944,6459,5243
3107703,Bom Jesus do Amparo,6182,2021-11-12,7807,4222,3308
3107802,Bom Jesus do Galho,14792,2021-11-12,14361,9320,5083
3108701,Brás Pires,4255,2021-11-12,6658,3517,2809
3109600,Cachoeira da Prata,3580,2021-11-12,6820,3630,2884
3109907,Caetanópolis,11869,2021-11-12,16752,9166,6968
3110400,Camacho,2839,2021-11-12,5418,2692,2429
3110707,Cambuquira,12810,2021-11-12,18374,10159,7532
3111705,Canaã,4533,2021-11-12,7763,4610,3042
3112208,Capela Nova,4616,2021-11-12,8036,4589,3470
3112406,Capetinga,6860,2021-11-12,12466,6575,5346
3112802,Capitólio,8693,2021-11-12,14491,8836,5616
3113107,Caranaíba,3150,2021-11-12,5739,3156,2403
3114204,Carmo do Cajuru,22900,2021-11-12,32102,18284,13130
3114501,Carmópolis de Minas,19756,2021-11-12,27508,15317,11450
3114550,Carneirinho,10103,2021-11-12,12389,6769,5327
3114600,Carrancas,4052,2021-11-12,7344,4037,2991
3114709,Carvalhópolis,3614,2021-11-12,5869,2886,2627
3114907,Casa Grande,2251,2021-11-12,4071,2101,1796
3115003,Cascalho Rico,3108,2021-11-12,5047,2564,2202
3115201,Conceição da Barra de Minas,3939,2021-11-12,6325,3531,2652
3115409,Catas Altas da Noruega,3665,2021-11-12,4332,2457,1894
3115474,Catuti,4944,2021-11-12,7078,3769,3011
3115607,Cedro do Abaeté,1150,2021-11-12,2281,1139,957
3115904,Chácara,3216,2021-11-12,5339,2928,2154
3116001,Chalé,5695,2021-11-12,8152,4443,3397
3116308,Cipotânea,6811,2021-11-12,9053,4892,3766
3116407,Claraval,4873,2021-11-12,6127,3222,2696
3116506,Claro dos Poções,7478,2021-11-12,10753,5980,4505
3117108,Conceição da Aparecida,10351,2021-11-12,15647,8636,6351
3117603,Conceição do Pará,5558,2021-11-12,9804,5370,4162
3118106,Congonhas do Norte,5047,2021-11-12,6384,3650,2522
3118908,Cordisburgo,8903,2021-11-12,12534,6408,5433
3119005,Cordislândia,3546,2021-11-12,4657,2534,1898
3119500,Coronel Murta,9209,2021-11-12,13059,6760,5680
3119708,Coronel Xavier Chaves,3448,2021-11-12,6109,3282,2560
3119955,Córrego Fundo,6425,2021-11-12,10473,5521,4769
3120003,Córrego Novo,2688,2021-11-12,5072,2827,2106
3120102,Couto de Magalhães de Minas,4436,2021-11-12,6048,3225,2662
3120151,Crisólita,6814,2021-11-12,5395,3471,1988
3120300,Cristália,5992,2021-11-12,6044,3740,2346
3120409,Cristiano Otoni,5161,2021-11-12,6277,3566,2517
3120607,Crucilândia,5072,2021-11-12,7911,4515,3150
3121258,Delta,10994,2021-11-12,13991,8154,5794
3121308,Descoberto,5044,2021-11-12,7619,4132,3257
3121407,Desterro de Entre Rios,7266,2021-11-12,11554,6336,4872
3121704,Diogo de Vasconcelos,3779,2021-11-12,5612,3006,2399
3121902,Divinésia,3430,2021-11-12,6490,3777,2542
3122405,Divisa Nova,6039,2021-11-12,9393,5146,3722
3122504,Dom Cavati,5025,2021-11-12,7529,4094,3068
3122702,Dom Silvério,5227,2021-11-12,9388,4903,4105
3122801,Dom Viçoso,2992,2021-11-12,5070,2505,2274
3122900,Dona Euzébia,6664,2021-11-12,8463,5001,3289
3123502,Douradoquara,1915,2021-11-12,3350,1635,1462
3124708,Estrela do Indaiá,3483,2021-11-12,5990,3023,2666
3124906,Eugenópolis,11383,2021-11-12,15009,8350,6150
3125200,Fama,2374,2021-11-12,3084,1753,1253
3125309,Faria Lemos,3202,2021-11-12,5188,2740,2139
3125507,São Gonçalo do Rio Preto,3178,2021-11-12,4983,2655,2015
3125804,Fernandes Tourinho,3500,2021-11-12,4651,2601,1913
3126208,Formoso,9810,2021-11-12,9535,5714,3574
3126604,Francisco Dumont,5268,2021-11-12,9102,5217,3830
3126802,Frei Gaspar,5858,2021-11-12,6717,4160,2522
3127057,Fronteira dos Vales,4542,2021-11-12,5775,3232,2413
